CSK_scafold,count,source
C1CCCC(CCCC2CCC(C3CCCCC3)C2)CC1,1,RNA binders
C1CCCC(CCC2CCC3CCCC3C2)CC1,1,RNA binders
C1CCC(CC2CCC3(CCC3)CC2)C1,1,RNA binders
C1CCC(C2CCCC2CC2CCC3(CCC3)CC2)CC1,1,RNA binders
C1CCC2CCCC3CCCCC3C2CC1,1,RNA binders
C(CCCC1CCC(CC2CCCCC2)CC1)CCCC1CCCC2CCCCC12,1,RNA binders
C1CCC2CC(CC3C4CCCCC3CC4)CC2C1,1,RNA binders
C(CCC1CCCC1)CCC1CCC2CCCC2C1,1,RNA binders
C1CCC(C2CCCC(CCC3CCC4CCCCC43)C2)CC1,1,RNA binders
C1CCC2(CC1)CCCC2,1,RNA binders
C1CCCCCCCCCCCC(CC2CCCCC2)CCCCCCCCCC1,1,RNA binders
C1CCC(C2CCC(CC3CCCC3)C2)CC1,1,RNA binders
C1CCC(CCC2C(CCC3CCCC3)C3CCCCC3C23CCCCC3)CC1,1,RNA binders
C1CCC(CC2CCCC(C3CCC4CCCCC4C3)C2)C1,1,RNA binders
C1CCC(CCC2CCC3(CCCCCC3)CC2)CC1,1,RNA binders
C1CCC2C(C1)CCCC2CC1CC2CCC1CC2,1,RNA binders
C1CCC(C2CCC(CCCC3CCC(C4CCCC4)CC3)C2)CC1,1,RNA binders
C1CCC2(CC1)CCC(CC1CCC1)C2,1,RNA binders
C1CCC(CCCCC2CCC3CCCCC3CC2)CC1,1,RNA binders
C1CCC(CCC(CCC2CCCCC2)CC2CCCCC2)CC1,1,RNA binders
C1CCC(CCC2CCC(CCC3CCCC3)C2)CC1,1,RNA binders
C1CCC2C(C1)CC1CCCC3CCCC2C31,1,RNA binders
C1CCC(C2CCC3CC(CC4CCCC4)CC32)CC1,1,RNA binders
C1CCCCCCCCCC1,1,RNA binders
C1CCC(C2CC(C3CCCCC3)C3CCCCC23)CC1,1,RNA binders
C1CCC(C2CC3CCCCC3C(C3CCCC3)C2)CC1,1,RNA binders
C=CCSC(CC)(CC)C(N)=O,1,RNA binders
